cashier
centerpiece
chair
dishwasher
doggie bag
head waiter
hostess
maitre d'
manager
reservation
server
spill
tip
to go
waiter
waitress
service staff
staff
bartender
host
owner
service
parking
owner
management
waitstaff
bus boy
quick
slow
fast
<<<<<<< HEAD
smile
friendly
=======
serving
>>>>>>> c0c82f2511a5ab008956c5d2860627fda2e01432
